id,username,date,tweet,emotion,anger,joy,surprise,fear,disgust,sadness,trust,anticipation,word,valence,arousa,dominance,emotions
1,BarackObama,9/29/2018 9:29,From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work.,Anger,0.40419358,0.064140409,0.053761829,0.252554029,0.005182418,0.125853464,0.08692468,0.007389581,civil,0.521,0.517,0.281,positive-
1,BarackObama,9/29/2018 9:29,From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work.,Anger,0.40419358,0.064140409,0.053761829,0.252554029,0.005182418,0.125853464,0.08692468,0.007389581,collective,0.583,0.698,0.458,joy-trust-surprise-
1,BarackObama,9/29/2018 9:29,From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work.,Anger,0.40419358,0.064140409,0.053761829,0.252554029,0.005182418,0.125853464,0.08692468,0.007389581,future,0.888,0.786,0.644,trust-fear-
1,BarackObama,9/29/2018 9:29,From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work.,Anger,0.40419358,0.064140409,0.053761829,0.252554029,0.005182418,0.125853464,0.08692468,0.007389581,good,0.938,0.534,0.368,anticipation-joy-positive-surprise-trust-
1,BarackObama,9/29/2018 9:29,From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work.,Anger,0.40419358,0.064140409,0.053761829,0.252554029,0.005182418,0.125853464,0.08692468,0.007389581,hard,0.302,0.616,0.708,trust-
1,BarackObama,9/29/2018 9:29,From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work.,Anger,0.40419358,0.064140409,0.053761829,0.252554029,0.005182418,0.125853464,0.08692468,0.007389581,keep,0.714,0.547,0.296,trust-joy-
1,BarackObama,9/29/2018 9:29,From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work.,Anger,0.40419358,0.064140409,0.053761829,0.252554029,0.005182418,0.125853464,0.08692468,0.007389581,people,0.604,0.5,0.4,trust-surprise-joy-
1,BarackObama,9/29/2018 9:29,From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work.,Anger,0.40419358,0.064140409,0.053761829,0.252554029,0.005182418,0.125853464,0.08692468,0.007389581,today,0.806,0.362,0.306,joy-surprise-
1,BarackObama,9/29/2018 9:29,From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work.,Anger,0.40419358,0.064140409,0.053761829,0.252554029,0.005182418,0.125853464,0.08692468,0.007389581,work,0.719,0.75,0.596,joy-trust-
1,BarackObama,9/29/2018 9:29,From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work.,Anger,0.40419358,0.064140409,0.053761829,0.252554029,0.005182418,0.125853464,0.08692468,0.007389581,young,0.812,0.537,0.52,anticipation-joy-positive-surprise-
2,BarackObama,9/25/2018 13:49,The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out.,Trust,0.020615565,0.310822278,0.06763766,0.057163943,0.00264701,0.010229996,0.328879803,0.202003762,antidote,0.541,0.629,0.49,anticipation-positive-trust-
2,BarackObama,9/25/2018 13:49,The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out.,Trust,0.020615565,0.310822278,0.06763766,0.057163943,0.00264701,0.010229996,0.328879803,0.202003762,early,0.633,0.426,0.373,joy-
2,BarackObama,9/25/2018 13:49,The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out.,Trust,0.020615565,0.310822278,0.06763766,0.057163943,0.00264701,0.010229996,0.328879803,0.202003762,government,0.427,0.85,0.53,fear-negative-
2,BarackObama,9/25/2018 13:49,The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out.,Trust,0.020615565,0.310822278,0.06763766,0.057163943,0.00264701,0.010229996,0.328879803,0.202003762,important,0.827,0.836,0.63,positive-trust-
2,BarackObama,9/25/2018 13:49,The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out.,Trust,0.020615565,0.310822278,0.06763766,0.057163943,0.00264701,0.010229996,0.328879803,0.202003762,make,0.684,0.48,0.42,trust-surprise-
